item,category
CARTUCHO DE TINTA PARA IMPRESSORA 122 PRETO HP,papelaria
PINCEL MARCADOR PERMANENTE ATOMICO PONTA CHANFRADA VERDE 1100-P PILOT 1 UNIDADE,NaN
"CANETA ESFEROGRAFICA PRETA 0,4MM PONTA ULTRAFINA FINE PEN FABER-CASTELL",papelaria
SUPER COLA TEK BOND 5GR,papelaria
CADERNO UNIVERSITARIO CAPA DURA TILIBRA ZIP 96 FOLHAS,papelaria
CADERNO UNIVERSITARIO ESPIRAL JANDAIA DISNEY SWEETIE 1 MATERIA 96 FOLHAS,papelaria
"PINCEL MARCADOR CD E DVD PERMANENTE VERMELHO 1,0MM PILOT 1 UNIDADE",papelaria
BLOCO NOTAS 3M POST-IT AMARELO 45 FOLHAS,papelaria
"AGENDA PLANNER ESPIRAL SEMANAL HAPPY AZUL 17,7X24CM TILIBRA",papelaria
CANETA MARCA TEXTO LUMINI INK CIS 6 CORES,papelaria
SACO PARA PRESENTE CORES SORTIDAS DAISO 29X45X10CM UNIDADE,papelaria
PAPEL SULFITE CHAMEX A4 75G COR BRANCA PACOTE 300 FOLHAS,NaN
SUPER COLA TEK BOND 5GR,papelaria
CADERNO CAPA DURA BROCHURA 1/4 LITTLE TILIBRA 80 FOLHAS,papelaria
PAPEL PRESENTE PERSONAGENS TILIBRA 70X100 CM 1UN,papelaria
SACO PARA PRESENTE CASUAL COR SORTIDA CROMUS 25X37CM,papelaria
CANETA ESFEROGRAFICA CRISTAL COR PRETA BIC 50UN,NaN
CADERNO TILIBRA CAPA DURA COLEGIAL WEST VIL 1M 80F,papelaria
"CORRETIVO EM FITA MICRO TAPE TWIST CORES SORTIDAS 4,2MM X 8M 1 UN",papelaria
CANETAS FINE PEN TONS PASTEIS FABER CASTELL 4 UNIDADE,papelaria
"CARTUCHO DE TINTA ORIGINAL 664XL COR PRETA F6V31AB HP 8,5ML",papelaria
SACOLA PAPEL KRAFT PARDO GG 39X32X16CM CROMUS UNIDADE,papelaria
PINCEL MARCA TEXTO LUMI COLOR SOFT TOM PASTEL AMARELO PILOT UN,papelaria
CANETA HIDROGRAFICA FINE PEN AZUL 1UN,papelaria
PAPEL SULFITE CHAMEX A4 75G COR BRANCA PACOTE 300 FOLHAS,papelaria
CESTO ORGANIZADOR BRANCO CASALAB,NaN
PASTA PLASCONY ABA ELASTICO TRANSPARENTE A02B 314,papelaria
ESTOJO ESCOLAR REF.02,papelaria
CANETA MARCA TEXTO ROSA LUMI COLOR TONS PASTEL 024RO PILOT BLISTER,NaN
CARTUCHO DE TINTA HP 662 PRETO - CZ103AB,papelaria
PINCEL ESCOLAR REDONDO PIRCTORE TIGRE N08 266-08,papelaria
CADERNO TILIBRA BROCHE 80 FOLHAS,papelaria
LAPIS GRAFITE COM BORRACHA AVENGERS MOLIN 4UN,papelaria
"CARTUCHO DE TINTA ORIGINAL 664XL COR PRETA F6V31AB HP 8,5ML",papelaria
LAPIS GRAFITE EVOLUTION BIC 10UN,papelaria
REFIL QUADRICULADO PARA CADERNO LINHA BRANCA GRANDE CADERNO INTELIGENTE 50FLS,papelaria
"LAPISEIRA P365 BRANCA 0,5MM PENTEL 1UN",NaN
CANETA HIDROGRAFICA FABER CASTELL 12UN,papelaria
SUPER COLA TEK BOND 5GR,papelaria
